A,B,result,RefD
graphical models,Mean Field Approximation,1,-0.040949406
natural language processing intro,speech processing,1,-0.098075254
natural language processing intro,adversarial search,0,-0.035081749
probabilities,bayesian network,1,-0.127722576
Kernel Graphical Models,Canonical Correlation Analysis,0,0.0198702271016603
caption generation,Hilbert Space,0,0
syntaxnet,Kernel Graphical Models,0,-0.012056428
document representation,Hilbert Space,0,0
nn sequence parsing,evaluation of information retrieval,0,-0.001561491
natural language processing intro,sentence boundary recognition,1,0
shift-reduce parsing,Belief Propagation,0,0
programming languages,preprocessing,1,-0.076738121
structured learning,document representation,1,0
bio text mining,nlp for biology,1,-0.210833075
evaluation of language modeling,neural language modeling,1,0.0140820325442595
python,tools for dl,1,-0.0191166
deep learning introduction,markov chain monte carlo,0,-0.010394379
expectation maximization algorithm,Markov Random Fields,0,-0.021457295
linguistics basics,information extraction,1,-0.018275334
probabilities,speech processing,1,0.0070497448180358
speech signal analysis,speech processing,1,-0.012687656
vector representations,context free grammars,1,0.0088806163558492
KKT conditions,phonetics,0,0
markov decision processes,Naive Bayes,0,0.0580942853864765
machine learning resources,sequence classification and conditional random fields,1,-0.459167196
linguistics basics,phonetics,1,0.150844518774586
document ranking,feature selection,0,-0.005267997
linguistics basics,semantic parsing,1,-0.010676282
question answering,nlp for databases,0,-0.003307993
machine translation techniques,neural machine translation,1,0.0735814478533695
random walks and harmonic functions,neural networks,1,-0.014371776
calculus,Meta-Learning,1,0
entailment,toolkits for information retrieval,0,-0.003102721
information retrieval,toolkits for information retrieval,1,-0.176270914
linguistics basics,penn treebank,1,0.0196520173654443
statistical part of speech tagging,course introduction,1,0
Belief Propagation,reading comprehension,0,0
wordnet,thesaurus-based similarity,1,-0.642081766
discourse analysis,nn sequence parsing,0,-0.062867746
natural language processing intro,text to speech generation,1,0.195416394825333
toolkits for information retrieval,information extraction,1,0.256969878076212
dynamic programming,course introduction,1,0
classic parsing methods,Message Passing,0,0
evaluation of information retrieval,graphical models,0,0.119556504987992
game playing in ai,neural parsing,0,0
structured learning,linear discriminant analysis,1,0.592143428101011
Unsupervised learning,k means,1,0.159083099431288
dimensionality reduction,latent semantic indexing,1,-0.034640315
probabilities,social network extraction,1,-0.009647415
text generation,generative and discriminative models,0,0.0489633782802621
text similarity,document representation,1,0.0236376348676037
linguistics basics,speech synthesis,1,-0.010127857
Hilbert Space,support vector machines,0,-0.010067796
sentence representations,transfer learning,0,0.0613671623067901
logic and logical agents,propositional logic,1,0.0937949654012194
latent variable models,linear discriminant analysis,1,0.129242168257776
sentence representations,sentence simplification,1,0.0456552573072706
Belief Propagation,python,0,0
latent variable models,lexicography,0,0
normalization,morphology and semantics in machine translation,0,0
beam search,Mixture Models,0,0
sentence representations,sentiment analysis,1,0.0772485134690346
linguistics basics,prosody,1,-0.020176425
normalization,parsing evaluation,0,0
probabilities,question answering,1,-0.033141527
graph theory,Message Passing,1,0.012941256358827
State Space Models,bootstrapping,0,0.0040920355962965
graph theory,context sensitive grammar,0,0.0027804964205309
planning,linear algebra,0,0
latent semantic indexing,Variable Elimination,0,0
grammar checker,nn sequence parsing,0,-0.02232781
classification,sentence boundary recognition,1,0.0217779320280841
q learning,others,0,0
statistical machine translation,social network extraction,0,0.0035448831289229
recurrent neural networks,problem solving and search,0,0.0020424128596166
Sampling,gibbs sampling,1,0
Belief Propagation,multi-task learning,0,-0.006166774
Sampling,Unsupervised learning,0,0
attention models,statistical parsing,0,-0.02857178
agent-based view of ai,propositional logic,0,0.0144925850034132
probabilities,Mixture Models,1,-0.120565223
natural language processing intro,dialog systems,1,-0.16806249
parts of speech,programming languages,0,-0.000300355
graph-based nlp,tsne,0,0.0441425574469206
calculus,State Space Models,1,-0.031942517
Markov chains,latent dirichlet allocation,1,-0.014222871
logic and reasoning,propositional logic,1,0.171847852688093
classification,sequence classification and conditional random fields,1,-0.023478144
particle filter,Principal Component Analysis,0,0.312469339399307
logic and reasoning,predicate logic,1,0.203720097450017
machine learning resources,neural networks,1,-0.175491915
sequence classification and conditional random fields,transition based dependency parsing,0,-0.047902898
preprocessing,unlexicalized parsing,0,0.0108860437601086
context sensitive grammar,Message Passing,0,0
structured learning,vector representations,1,-0.041630322
Manifold Learning,loss function,0,0.0739263336347675
Markov chains,markov chain monte carlo,1,-0.087135632
radial basis function network,Markov chains,0,0.0241687707579503
question answering,n-gram models,0,-0.169619345
lexical semantics,normalization,0,0
dual problems,deep learning tools,0,0.003912065780727
linguistics basics,entailment,1,-0.017728369
information extraction,social media analysis,1,-0.042137295
tools for dl,Naive Bayes,0,0
finite state machines,uncertainty,0,0
planning,neural networks,0,0
Unsupervised learning,tsne,1,0.359764271848636
neural question answering,Hilbert Space,0,0.001080862795053
bootstrapping,deep learning tools,0,0.013114276721067
monte carlo tree search,random walks,0,0.0071320076062393
search,adversarial search,1,0
text generation,Mean Field Approximation,0,0
vector semantics,transliteration,0,0
recursive neural networks,context sensitive grammar,0,0
neural networks,memory networks,1,0.0401237244818456
information retrieval,image retrieval,1,-0.186691545
data structures and algorithms,ResNet,0,0
linguistics basics,noisy channel model,1,0
linguistics basics,edit distance,1,0
facial recognition systems,random walks and harmonic functions,0,-0.000744751
tree adjoining grammar,context sensitive grammar,1,0.181229792362821
text similarity,recommendation system,1,0.303332723555766
natural language processing intro,shift-reduce parsing,1,-0.148023179
linear algebra,mathematical models,1,-0.052495257
problem solving and search,game playing in ai,1,-0.009796844
natural language processing intro,spelling correction,1,0
search,a* search,1,0
recursive neural network,Kernel Graphical Models,0,0.136674795904036
chomsky hierarchy,context sensitive grammar,1,0.0083488751356012
language modeling,evaluation of language modeling,1,-0.014082033
logic and logical agents,text summarization,0,0
class logistics,Variable Elimination,0,0
evaluation of language modeling,text generation,1,-0.172131395
theory of computation,Meta-Learning,0,0
vector semantics,combinatory categorial grammar,0,0
search,problem solving and search,1,0
random walks and harmonic functions,sentiment analysis,1,-0.001063662
probabilities,structured sparsity,1,-0.01600984
graph convolutional networks,probabilistic grammars,0,0.0036949338325911
logic and reasoning,Sampling,0,0
parsing,lexicalized parsing,1,-0.331093005
natural language processing intro,Sequence to sequence,1,-0.01337815
loss function,classification,1,-0.022224682
State Space Models,penn treebank,0,0.0432960265074058
word distributions,course introduction,0,0
vector representations,word sense disambiguation,1,-0.147436137
Unsupervised learning,neural networks,1,0.0015877521568849
natural language processing intro,course introduction,1,0
gradient descent,neural summarization,0,-0.010212086
matrix factorization,evaluation of text classification,0,-0.004057693
probabilities,chinese nlp,0,-0.004810873
perceptron,speech signal analysis,0,0.0444174758449246
linguistics basics,probabilistic context free grammars,1,0
natural language processing intro,relation extraction,1,-0.231150763
bayesian network,hidden markov models,1,0.0171060714918157
machine learning resources,linear discriminant analysis,1,0.0924743673389569
natural language processing intro,tokenization,1,0
loss function,Meta-Learning,1,-0.029929023
generative adversarial networks,speech signal analysis,0,0.0324480188216764
vector representations,vector semantics,0,-0.105390624
bootstrapping,machine translation techniques,0,0.0076344656343058
training neural networks,recursive neural networks,1,-0.159989078
latent variable models,spelling correction,0,0
summarization evaluation,Markov chains,0,0.0263618766648143
natural language processing intro,discourse analysis,1,-0.00334155
machine translation techniques,statistical machine translation,1,-0.405336429
Markov chains,Variations of GANs,0,-0.022089379
text summarization,summarization evaluation,1,0
probabilistic grammars,probabilistic context free grammars,1,0
Autoencoders,nlp for databases,0,0
structured learning,language identification,0,0
nlp and vision,document representation,0,0
neural networks,Autoencoders,1,0.0456815199541349
context sensitive grammar,problem solving and search,0,0.0094195089108656
machine translation techniques,deep learning tools,0,-0.039405165
Naive Bayes,radial basis function network,0,-0.140410603
conditional probability,lexicalized parsing,0,0
summarization evaluation,question answering,0,-0.072383542
regularization,neural parsing,0,0
natural language processing intro,chinese nlp,1,0
deep learning tools,Belief Propagation,0,-0.018538304
lexicography,text to speech generation,0,0.0048946609050302
Variations of GANs,information extraction,0,-0.044866732
structured learning,word distributions,1,0.0069920448158849
morphology and semantics in machine translation,recursive neural network,0,-0.01351507
feature selection,Hilbert Space,0,0.0048330867282583
vector semantics,semantic similarity,1,0.0806865313711661
graph convolutional networks,handwriting recognition,0,-0.202891155
structured learning,sentence representations,1,-0.546636291
natural language processing intro,document representation,1,0.0033249795161125
policy gradient methods,evaluation of text classification,0,-0.038269466
variational bayes models,information retrieval,0,-0.000223836
penn treebank,logic and logical agents,0,0.0014630287878247
spectral clustering,class logistics,0,0
q learning,structured sparsity,0,-0.350506102
evaluation of language modeling,character level language models,1,0.146154556694561
linguistics basics,automated essay scoring,1,-0.024370232
machine learning resources,latent dirichlet allocation,1,-0.28486652
logic and reasoning,knowledge representation,1,-0.033358221
generative and discriminative models,Variations of GANs,1,-0.228230388
parts of speech,discourse model,0,0.0238889674889503
machine translation techniques,penn treebank,0,0.0466023962157111
discourse analysis,statistical machine translation,0,-0.030106378
discourse parsing,predicate logic,0,-0.008167343
phonetics,mathematical models,0,-0.003428251
support vector machines,Meta-Learning,0,-0.069554632
classification,sentiment analysis,1,0.0234662043884215
long short term memory networks,memory networks,1,0
document representation,agent-based view of ai,0,0
cky parsing,matrix multiplication,0,0.011077085729177
natural language processing intro,first order logic,0,-0.008167343
spelling correction,Autoencoders,0,0
probabilities,monte carlo methods,1,-0.043185251
nlp for the humanities,structured sparsity,0,-0.01997845
probabilities,word distributions,1,-0.049679665
summarization evaluation,knowledge graph,0,-0.021804355
latent variable models,speech signal analysis,0,0.0351317587505186
parsing,statistical parsing,1,-0.37459003
word distributions,document representation,1,0.0237374150478818
latent semantic indexing,Sampling,0,0
Principal Component Analysis,latent semantic indexing,1,-0.032539318
natural language processing intro,event detection,1,-0.146667312
linear algebra,structured learning,1,-0.011603857
linguistics basics,document representation,1,0
loss function,Autoencoders,1,0.123401979847579
vector representations,structured learning,1,0.0416303217650186
vector representations,recommendation system,1,0.0036264844925345
linguistics basics,language modeling,1,-0.011749365
tools for dl,document representation,0,0
structured learning,tsne,1,0.51336855689648
matrix factorization,predicate logic,0,0
text similarity,word sense disambiguation,1,0.0047016440115414
Manifold Learning,activation functions,0,0.0017094765720973
search,informed search,1,0
reinforcement learning,agent-based view of ai,1,-0.074247567
linguistics basics,shallow parsing,1,-0.043166829
vector representations,kernels,1,0
planning,robotics,1,0.0216382020337858
class logistics,wordnet,0,0
vector representations,automated essay scoring,1,-0.352299504
text similarity,event detection,1,0
uncertainty,training neural networks,0,0.0067179479665437
problem solving and search,language identification,0,-0.065701575
sentence representations,neural machine translation,1,0.27596193792553
character level language models,Variable Elimination,0,0.001777067521327
calculus,machine learning resources,1,0.0257126636397241
optimization,word distributions,0,-0.011127565
syntax,dependency syntax,1,-0.166990913
word embedding variations,ResNet,0,-0.002688166
vector semantics,recommendation system,1,0.032341428890723
natural language processing intro,language identification,1,-0.227906419
parsing,semantic parsing,1,-0.046257318
speech signal analysis,chomsky hierarchy,0,-0.003899863
backpropagation,cky parsing,0,-0.020716124
text similarity,tsne,0,0.0277002411098303
recurrent neural networks,neural question answering,1,-0.021437036
dependency parsing,evaluation of dependency parsing,1,0
optimization,generative and discriminative models,0,-0.026582105
Sampling,markov chain monte carlo,1,0
nlp for the humanities,Meta-Learning,0,0
natural language processing intro,shallow parsing,1,-0.430866668
evaluation of question answering,logic and reasoning,0,0.0126946801226557
multi-task learning,dimensionality reduction,0,0.140284853237234
agent-based view of ai,markov decision processes,0,0.0298236283539295
linguistics basics,nlp and vision,1,0
word embedding,heuristic search,0,0.0155766206654649
deep learning introduction,neural turing machine,1,-0.53197139
calculus,harmonic functions,1,-0.127253495
convolutional neural network,text similarity,0,-0.03619661
linguistics basics,named entity recognition,1,-0.025542455
speech processing,text to speech generation,1,0.107310854514176
linguistics basics,propositional logic,1,-0.003274808
syntax based machine translation,activation functions,0,-0.08997456
semi-supervised learning,attention models,0,0.64578420747559
document ranking,latent semantic indexing,0,0.106263083570753
discourse analysis,discourse parsing,1,0.0033415499851501
structured learning,semantic similarity,1,0.0050106306935904
