A,B,result
Graphical model,Artificial intelligence,1
Haskell (programming language),Neural network,0
Database normalization,Database,1
Cloud computing,Computer network,1
3D computer graphics,Image processing,1
Control flow,Cryptographic hash function,0
Calculus,Hidden Markov model,0
MATLAB,System programming,0
Robot,Shortest path problem,0
Computer graphics,Logic,1
Procedural programming,Routing,0
Data type,Server (computing),0
Quantum computer,Integer,1
Web browser,Computer,1
Machine learning,Foundations of mathematics,1
Sentiment analysis,Computer science,1
Stochastic process,Signal processing,0
Amortized analysis,Data (computing),1
Problem solving,User interface design,0
Recurrence relation,Modular programming,0
Bioinformatics,Mathematical induction,1
Cluster analysis,Computer science,1
Probability theory,Inheritance (object-oriented programming),0
Sentiment analysis,Theory of computation,0
Cache coherence,Message passing,0
Web browser,Arithmetic,1
Natural language processing,Numerical analysis,1
Speech recognition,Regular expression,0
Lisp (programming language),Graph theory,1
Programming language,P versus NP problem,0
Profiling (computer programming),Combinatorics,1
Software engineering,Data (computing),1
Fast Fourier transform,Markov chain,0
Computer graphics,Graph theory,1
Unsupervised learning,Approximation,0
Telecommunications network,Exponential family,0
Artificial intelligence,Graph (mathematics),1
File system,Ordinary differential equation,0
Recommender system,Computational science,1
Concurrency (computer science),Mathematics,1
Computational geometry,Geometry,1
Sentiment analysis,Natural language processing,1
Data mining,Computational complexity theory,1
Database,NP-complete,0
Central processing unit,Monad (functional programming),0
Computer software,Central processing unit,1
Computational science,Linear algebra,0
Martingale (probability theory),Iterative method,0
Motion capture,Flow network,0
NP-complete,Mathematical induction,1
Computational chemistry,Computer,1
Design of experiments,Data,1
Computer security,Poisson distribution,0
Wavelet,Robot,0
Speech recognition,Mathematics,1
Neural network,Mathematical optimization,1
Newton's method,Mathematical optimization,1
Context-free language,Robotics,0
Spanning tree,NP (complexity),0
Parametric polymorphism,Computability,1
Database transaction,Quantum cryptography,0
Inheritance (object-oriented programming),Input/output,0
Knowledge representation and reasoning,Mathematics,1
Computer network,Central processing unit,0
Programmer,Fixed point (mathematics),0
Model of computation,Computer,1
Procedural programming,Mathematical induction,0
Markov chain,Profiling (computer programming),0
Geometry,Wireless sensor network,0
Lexical semantics,PSPACE,0
Robotics,Web server,0
Vector processor,Lock (computer science),1
Superscalar,Recommender system,0
JavaScript,Computational complexity theory,1
GPU,Time complexity,1
Graph theory,Mathematical proof,1
Graphical user interface,Number theory,1
Mechanical engineering,Microcode,0
Virtual memory,Database management system,0
Data warehouse,Sentiment analysis,0
NP-complete,Problem solving,1
Operating system,Procedural programming,0
Question answering,Dynamic programming,0
Program optimization,Algorithm,1
Undecidable problem,Theoretical computer science,1
Dynamic programming,Analysis of algorithms,1
Haskell (programming language),Probability,0
Quantum computer,Theoretical computer science,1
B-tree,Expected value,0
SQL,Structured programming,0
Bioinformatics,Arithmetic,1
Design pattern (computer science),Computational geometry,0
Parallel algorithm,Haskell (programming language),0
Mathematical proof,Mathematical proof,0
Assembly language,Inheritance (object-oriented programming),0
Recurrence relation,Image,0
NP (complexity),Regular expression,0
Algorithm,Problem solving,1
Computational science,Hash table,0
Assembly language,Machine translation,0
Pushdown automata,Foundations of mathematics,1
Sentiment analysis,Document classification,1
Lisp (programming language),Computer programming,1
Logic programming,Object-oriented programming,0
Randomness,Mathematics,1
Context-free grammar,Web service,0
Theory of computation,Logic,1
Algorithm design,Integer,1
Software development,Data,1
Procedural programming,Computer science,1
Genetic algorithm,Mathematics,1
Digital signature,Web search engine,0
Robotics,Data structure,1
Index (database),Relational model,1
Amortized analysis,Distributed algorithms,0
Computer science,Discrete mathematics,1
Query optimization,Database transaction,1
Theoretical computer science,Computer science,1
Context-free language,Large deviations theory,0
Haskell (programming language),Computer science,1
Unsupervised learning,Probability theory,1
Monte Carlo method,Theoretical computer science,1
Malware,Security,1
Very long instruction word,Data mining,0
Genetic algorithm,Computation,1
Parallel algorithm,Application software,0
Data (computing),Concurrency (computer science),0
Decision theory,Computing,1
Image processing,Graph (mathematics),0
Time complexity,Iterative method,1
3D modeling,Mathematics,1
Object-oriented programming,Automata theory,1
Analysis of algorithms,Computational complexity theory,1
High-level programming language,Cryptographic hash function,0
Concurrency control,Computer science,1
Formal language,Formal verification,0
Computer graphics,Computer,1
Type system,Automata theory,1
Scripting language,Computer,1
Computational problem,Graph theory,1
